golden_id,case_id,root_tweet_id,customer_id,created_at,turn_count,initial_customer_message,intent,confidence,notes
GOLD_001,TESCO_1965376,1965376,582588,Mon Oct 30 23:21:53 +0000 2017,4,@Tesco why your man in Ewell tryna front me outside over a mistake on his behalf why every time I go there they are they so rude&amp;abusive?!,store_service_complaint,high,
GOLD_002,TESCO_1978637,1978637,585841,Tue Oct 31 18:40:34 +0000 2017,5,Seriously @Tesco  since when have you started cutting crusts of children’s sandwiches. Can’t believe your encouraging this!!! #parentinghell https://t.co/bNhABXSdK6,other,medium,
GOLD_003,TESCO_2023172,2023172,547276,Mon Nov 06 10:16:38 +0000 2017,2,@Tesco estimate i've spent £78k with you but told today to pick my own shopping up from store means that figure will not be increasing!,delivery_issue,low,
GOLD_004,TESCO_811754,811754,313413,Thu Oct 12 18:06:27 +0000 2017,4,Fucksake @Tesco why have you removed the list search function from Groceries?! Fifteen minute shop now takes an hour 😡🙄,online_website_issue,high,
GOLD_005,TESCO_1628183,1628183,498445,Tue Oct 17 10:00:45 +0000 2017,4,So @Tesco as the Hudl 2 as with many android devices suffer from the WiFi security bug any plans to update it to patch the vulnerability?,online_website_issue,medium,
GOLD_006,TESCO_83726,83726,134395,Thu Nov 30 13:48:25 +0000 2017,12,I do love  Christmas films!,other,high,
GOLD_007,TESCO_1369633,1369633,438809,Fri Oct 27 17:09:41 +0000 2017,4,"@Tesco Hi, is there a limit to how much wine you can buy in one order for Home Delivery?",online_order_issue,high,
GOLD_008,TESCO_1271242,1271242,417629,Thu Oct 26 12:42:52 +0000 2017,5,@Tesco why is it your new key ring club cards don't scan? Also not helpful when your staff tell us that they can't scan them either.,clubcard_account,high,
GOLD_009,TESCO_855671,855671,323214,Fri Oct 13 13:36:54 +0000 2017,2,What an amazing time Year 4 had at Tesco this week learning all about Farm to Fork.,other,high,
GOLD_010,TESCO_2540538,2540538,498560,Thu Nov 16 10:45:20 +0000 2017,2,@Tesco are you able to confirm for me what time the new Pokemon games go on sale tomorrow?,product_availability,high,
GOLD_011,TESCO_2255083,2255083,656834,Fri Nov 10 15:07:04 +0000 2017,4,"Hi @Tesco I've a query about Christmas dinner orders, who should I ask?",online_order_issue,medium,
