section,golden_id,gold_intent,predicted_intent,customer_message,reply,escalate,human_escalate,policy_escalate,intent_alignment,helpfulness,grounding,safety_factuality,escalation_appropriateness,overall_quality,unsupported_claim,needs_human,failure_detail,concise_reason,retrieval_score
intent_error,GOLD_028,product_availability,online_order_issue,hey @Tesco why no courgettes for online customers been trying for three weeks. Am now looking at @sainsburys and they have them may switch,"Hi there! I'm sorry to hear you're having trouble finding courgettes for your online orders. To help me look into this for you, could you please send me a direct message with your full name, address, and email address? Thank you!",False,,,1.0,1.0,1.0,3.0,1.0,1.0,True,True,product_availability -> online_order_issue,"The response fails to address the customer's general question about courgette availability for online customers, instead immediately asking for personal details for an investigation the bot cannot perform.",
intent_error,GOLD_029,other,pricing_offers,I just got told off for putting the Christmas radio station on at work #bahhumbug,"I'm sorry to hear you were told off at work. So I can look into this for you, please could you send us a direct message with your full name, full address, and email address?",True,,,1.0,1.0,1.0,1.0,1.0,1.0,True,False,other -> pricing_offers,"The model completely misunderstands the customer's message, assuming a Tesco staff issue when the customer is venting about their own workplace. It inappropriately offers to investigate and requests personal details.",
intent_error,GOLD_011,online_order_issue,clubcard_account,"Hi @Tesco I've a query about Christmas dinner orders, who should I ask?","Hi there! To help you with your query about Christmas dinner orders, could you please tell me a bit more about what you'd like to know?",False,,,3.0,3.0,5.0,5.0,5.0,3.0,False,False,online_order_issue -> clubcard_account,The response doesn't directly answer 'who' to ask but appropriately seeks more information to understand the customer's specific query.,
intent_error,GOLD_002,other,product_quality_safety,Seriously @Tesco  since when have you started cutting crusts of children’s sandwiches. Can’t believe your encouraging this!!! #parentinghell https://t.co/bNhABXSdK6,"Hi there, thanks for reaching out. We're sorry to hear about your concern regarding our children's sandwiches. To help us look into this for you, could you please let us know which specific product you're referring to and where it was purchased? We'll then pass this on to our team.",True,,,3.0,3.0,3.0,5.0,4.0,3.0,False,True,other -> product_quality_safety,"The response misinterprets the customer's general policy question as a specific product complaint, asking for irrelevant details. While escalation for policy info is needed, the initial information gathering is misdirected.",
intent_error,GOLD_038,product_information,product_quality_safety,"@Tesco the cal content per sachet of your ""easy oats, blueberry &amp; apple"" is that before milk is added? or per made up sachet? its not clear!","Thanks for reaching out about the calorie content on our Easy Oats, Blueberry & Apple sachets. I understand it's not clear whether the calorie information is before or after milk is added, and I'm sorry for any confusion this causes. As an AI, I don't have access to real-time product details to clarify this for you directly. I can pass on your feedback about the labeling to our team for review. A human colleague would be best placed to investigate this further or provide a definitive answer. Would you like me to escalate this so they can look into it?",True,,,5.0,3.0,3.0,4.0,3.0,3.0,True,True,product_information -> product_quality_safety,"The AI correctly identifies the customer's query but claims it cannot access product details, despite historical examples showing this information was directly provided by agents. This leads to unnecessary escalation for a static product detail.",
intent_error,GOLD_006,other,delivery_slots,I do love  Christmas films!,"It's lovely to hear you enjoy Christmas films! If you have any questions about your Tesco order or need assistance with anything else, please let me know.",False,,,3.0,3.0,3.0,5.0,5.0,3.0,False,False,other -> delivery_slots,"The response acknowledges the customer's statement but then immediately pivots to a generic support offer, missing the opportunity for conversational engagement shown in historical examples.",
intent_error,GOLD_219,online_order_issue,product_quality_safety,"@Tesco oi oi Tesco, there’s a cheap brand intruder in my shopping! That’s not what I paid for... https://t.co/wnIHWLWdqS",I'm sorry to hear you received an incorrect item in your shopping. A colleague will be able to look into this for you and help resolve the issue.,True,,,5.0,3.0,5.0,5.0,5.0,3.0,False,True,online_order_issue -> product_quality_safety,"Correctly identifies the issue and escalates, but could be more helpful by asking for necessary order details upfront to expedite resolution.",
intent_error,GOLD_212,other,product_information,@Tesco is this a scam?? https://t.co/CQq0cK0Zui,"Thanks for reaching out about this link. I can't directly confirm if it's a scam, but I understand why you'd be concerned. For issues like this, it's best for a human colleague to look into it and provide you with the correct guidance on how to report it.",True,,,5.0,3.0,3.0,5.0,5.0,3.0,False,True,other -> product_information,"The response correctly identifies its limitation and escalates, but misses the opportunity to provide the reporting email address seen in historical examples.",
intent_error,GOLD_010,product_availability,online_website_issue,@Tesco are you able to confirm for me what time the new Pokemon games go on sale tomorrow?,"I'm sorry, I don't have information on the exact release time for new Pokemon games.",True,,,5.0,3.0,5.0,5.0,5.0,4.0,False,True,product_availability -> online_website_issue,"The response directly addresses the customer's query by stating its limitation, which is factual and safe. Escalation is appropriate as this specific information would likely require human intervention.",
intent_error,GOLD_218,pricing_offers,delivery_issue,@Tesco signed up for delivery saver free trial and was still charged for delivery at checkout on first order??,"I'm sorry to hear you were charged for delivery on your first order after signing up for the Delivery Saver free trial. I don't have access to customer accounts or order details to investigate this directly. A colleague will be able to look into your Delivery Saver subscription and the charge on your order. It would be helpful if you could provide your full name, address, email, and order number when you speak with them.",True,,,5.0,3.0,4.0,5.0,5.0,4.0,False,True,pricing_offers -> delivery_issue,"The response correctly identifies its limitations and appropriately escalates, providing useful information for the customer. It could be improved by offering general explanations from historical examples before immediate escalation.",
intent_error,GOLD_015,other,product_quality_safety,We have been down @Tesco today with the South Yorkshire Police Cadets collecting food #CAP #homelessness https://t.co/ENEKtgKhIw,That's wonderful to hear! Thank you and the South Yorkshire Police Cadets for collecting food to help with homelessness. We appreciate your efforts.,False,,,5.0,5.0,5.0,5.0,5.0,5.0,False,False,other -> product_quality_safety,"The response perfectly acknowledges and appreciates the customer's positive informational tweet, requiring no escalation.",
intent_error,GOLD_017,pricing_offers,delivery_slots,@Tesco why have I been charged a random £2.00 for the Delivery Saver Plan? 🤔,"Hi there, I'm sorry to hear about this unexpected charge for your Delivery Saver Plan. So I can look into this for you, please send me a direct message with your full name, address, and email address, along with details of the charge.",True,,,5.0,5.0,5.0,5.0,5.0,5.0,False,True,pricing_offers -> delivery_slots,"The response correctly identifies the issue and provides the appropriate next step for escalation, aligning with historical support behavior for account-specific queries.",
intent_error,GOLD_020,store_service_complaint,product_availability,@Tesco when will tesco at Trinity square Gateshead be open 😩,"Hi there! For the most up-to-date opening hours for our Tesco store at Trinity Square Gateshead, please check our store locator on the Tesco website. You'll find all the current details there. I hope this helps!",False,,,5.0,5.0,5.0,5.0,5.0,5.0,False,False,store_service_complaint -> product_availability,"The response directly answers the customer's query by providing the correct and most reliable source for store opening hours, without making any ungrounded claims.",
intent_error,GOLD_016,other,product_quality_safety,Who did this @Tesco https://t.co/zOiojg6aE3,"Hi there! Thanks for reaching out. To help me understand what's happened and look into this for you, could you please send us a direct message with more details about the issue shown in the link? Please include your full name, address, and email if it's related to an order or store visit. Thanks!",False,,,5.0,5.0,5.0,5.0,5.0,5.0,False,False,other -> product_quality_safety,"The response appropriately asks for more details via DM to understand the vague customer query, aligning with historical examples and best practices.",
intent_error,GOLD_019,product_information,product_quality_safety,Why can’t @tesco just stop putting reduced stickers over cooking instructions 😩 how long I’m I supposed to have this oven ???? https://t.co/eRxuRVC2t4,"I'm sorry to hear that the reduced sticker covered the cooking instructions on your product. That sounds really frustrating! So I can look into this, could you please let me know which store you purchased this item from and what the product was? Thanks!",False,,,5.0,5.0,5.0,5.0,5.0,5.0,False,False,product_information -> product_quality_safety,"The response directly addresses the customer's complaint, shows empathy, and appropriately gathers necessary information for investigation, aligning with historical support practices.",
intent_error,GOLD_005,online_website_issue,pricing_offers,So @Tesco as the Hudl 2 as with many android devices suffer from the WiFi security bug any plans to update it to patch the vulnerability?,"Thanks for reaching out. Regarding software updates for the Hudl 2 to address WiFi security vulnerabilities, I don't have specific information on future update plans. This is a technical query that may require further investigation.",True,,,5.0,4.0,5.0,5.0,5.0,5.0,False,True,online_website_issue -> pricing_offers,"The response directly addresses the technical query, honestly states a lack of information, and appropriately suggests escalation for a specialized question.",
intent_error,GOLD_027,delivery_slots,delivery_issue,@Tesco am I right in saying delivery is only happening on 24th Dec around Fulfillment Centres? Mainly London? I've booked for 23rd hoping 24th isn't happening in nottm.,"Hi there, I understand you're asking about Christmas delivery dates, especially for December 24th in London and Nottingham, and your booking for the 23rd. I don't have access to real-time delivery schedules for specific locations or individual bookings. For the most accurate information regarding your specific order and delivery date, please check your booking details or contact our customer service team directly. They will be able to confirm this for you.",True,,,5.0,5.0,5.0,5.0,5.0,5.0,False,True,delivery_slots -> delivery_issue,"The response accurately identifies the customer's specific query, states its limitations, and provides appropriate next steps for a specific, account-related inquiry.",
intent_error,GOLD_024,other,store_service_complaint,College’s beef pasta bake reminds me why I shop at @Tesco. #EveryLittleHelps,That's fantastic to hear! We're so pleased you enjoy our beef pasta bake. Thanks for your kind words and for choosing Tesco!,False,,,5.0,5.0,5.0,5.0,5.0,5.0,False,False,other -> store_service_complaint,The response perfectly handles a positive customer comment with appropriate appreciation and no unnecessary actions.,
intent_error,GOLD_032,other,store_service_complaint,"@Tesco Just to let you know I feel your Padiham Tesco staff deserve a few little bonuses due to being so friendly! Pharmacy, cashiers etc 😁","Hi there, that's wonderful to hear! We're so pleased you had such a positive experience with our Padiham staff, especially in the Pharmacy and with the cashiers. We'd love to pass on your kind words. If you'd like us to formally log this feedback, please send us a DM with more details, such as the date and time of your visit. TY.",False,,,5.0,5.0,5.0,5.0,5.0,5.0,False,False,other -> store_service_complaint,"Politely acknowledges positive feedback and offers a clear, appropriate path for formal logging without making unsupported claims.",
intent_error,GOLD_030,product_quality_safety,refund_return_compensation,"@Tesco I could have taken it back to store for a refund, I’m honestly not after a refund but lately this keeps happening, Brown onion last week!","I'm really sorry to hear that you've been experiencing recurring issues with the quality of our produce. We definitely want to look into why this keeps happening. Could you please send us a direct message with your full name, address, postcode, and email address? We'll make sure this is logged and fed back to the store. Thanks!",False,,,5.0,5.0,5.0,5.0,5.0,5.0,False,False,product_quality_safety -> refund_return_compensation,"The response accurately identifies the customer's issue (recurring quality, not refund) and provides a clear, appropriate next step for logging the complaint, well-grounded in historical examples.",
intent_confusion_pair,,other,product_quality_safety,,,,,,,,,,,,,,other -> product_quality_safety (18 cases),,
intent_confusion_pair,,other,store_service_complaint,,,,,,,,,,,,,,other -> store_service_complaint (8 cases),,
intent_confusion_pair,,store_service_complaint,product_quality_safety,,,,,,,,,,,,,,store_service_complaint -> product_quality_safety (8 cases),,
intent_confusion_pair,,other,pricing_offers,,,,,,,,,,,,,,other -> pricing_offers (4 cases),,
intent_confusion_pair,,store_service_complaint,pricing_offers,,,,,,,,,,,,,,store_service_complaint -> pricing_offers (4 cases),,
intent_confusion_pair,,other,online_website_issue,,,,,,,,,,,,,,other -> online_website_issue (3 cases),,
intent_confusion_pair,,product_information,product_quality_safety,,,,,,,,,,,,,,product_information -> product_quality_safety (3 cases),,
intent_confusion_pair,,store_service_complaint,product_availability,,,,,,,,,,,,,,store_service_complaint -> product_availability (3 cases),,
intent_confusion_pair,,pricing_offers,product_availability,,,,,,,,,,,,,,pricing_offers -> product_availability (2 cases),,
intent_confusion_pair,,other,product_availability,,,,,,,,,,,,,,other -> product_availability (2 cases),,
intent_confusion_pair,,online_website_issue,pricing_offers,,,,,,,,,,,,,,online_website_issue -> pricing_offers (2 cases),,
intent_confusion_pair,,product_availability,store_service_complaint,,,,,,,,,,,,,,product_availability -> store_service_complaint (2 cases),,
intent_confusion_pair,,store_service_complaint,delivery_issue,,,,,,,,,,,,,,store_service_complaint -> delivery_issue (2 cases),,
intent_confusion_pair,,product_quality_safety,other,,,,,,,,,,,,,,product_quality_safety -> other (2 cases),,
intent_confusion_pair,,product_quality_safety,pricing_offers,,,,,,,,,,,,,,product_quality_safety -> pricing_offers (2 cases),,
lowest_quality_reply,GOLD_028,product_availability,online_order_issue,hey @Tesco why no courgettes for online customers been trying for three weeks. Am now looking at @sainsburys and they have them may switch,"Hi there! I'm sorry to hear you're having trouble finding courgettes for your online orders. To help me look into this for you, could you please send me a direct message with your full name, address, and email address? Thank you!",False,,,1.0,1.0,1.0,3.0,1.0,1.0,True,True,Overall quality = 1,"The response fails to address the customer's general question about courgette availability for online customers, instead immediately asking for personal details for an investigation the bot cannot perform.",
