golden_id,category,engineering_interpretation,gold_intent,predicted_intent,customer_message,generated_reply,model_escalate,human_escalate,policy_escalate,intent_alignment,helpfulness,grounding,safety_factuality,escalation_appropriateness,overall_quality,unsupported_claim,needs_human_judge,judge_reason
GOLD_028,classification_cascade,"Product availability is misclassified as an online-order issue, causing the response to request unnecessary personal details.",product_availability,online_order_issue,hey @Tesco why no courgettes for online customers been trying for three weeks. Am now looking at @sainsburys and they have them may switch,"Hi there! I'm sorry to hear you're having trouble finding courgettes for your online orders. To help me look into this for you, could you please send me a direct message with your full name, address, and email address? Thank you!",False,,,1,1,1,3,1,1,True,True,"The response fails to address the customer's general question about courgette availability for online customers, instead immediately asking for personal details for an investigation the bot cannot perform."
GOLD_029,social_other_confusion,"Casual/non-support text is interpreted as a Tesco support issue, demonstrating the classifier's weakness on the other class.",other,pricing_offers,I just got told off for putting the Christmas radio station on at work #bahhumbug,"I'm sorry to hear you were told off at work. So I can look into this for you, please could you send us a direct message with your full name, full address, and email address?",True,False,False,1,1,1,1,1,1,True,False,"The model completely misunderstands the customer's message, assuming a Tesco staff issue when the customer is venting about their own workplace. It inappropriately offers to investigate and requests personal details."
GOLD_038,informational_over_escalation,A general nutrition-label question is escalated even though it does not inherently require human intervention.,product_information,product_quality_safety,"@Tesco the cal content per sachet of your ""easy oats, blueberry &amp; apple"" is that before milk is added? or per made up sachet? its not clear!","Thanks for reaching out about the calorie content on our Easy Oats, Blueberry & Apple sachets. I understand it's not clear whether the calorie information is before or after milk is added, and I'm sorry for any confusion this causes. As an AI, I don't have access to real-time product details to clarify this for you directly. I can pass on your feedback about the labeling to our team for review. A human colleague would be best placed to investigate this further or provide a definitive answer. Would you like me to escalate this so they can look into it?",True,False,False,5,3,3,4,3,3,True,True,"The AI correctly identifies the customer's query but claims it cannot access product details, despite historical examples showing this information was directly provided by agents. This leads to unnecessary escalation for a static product detail."
GOLD_006,conversational_quality,The system handles casual social chatter safely but responds in a support-oriented style rather than naturally engaging with the message.,other,delivery_slots,I do love  Christmas films!,"It's lovely to hear you enjoy Christmas films! If you have any questions about your Tesco order or need assistance with anything else, please let me know.",False,False,False,3,3,3,5,5,3,False,False,"The response acknowledges the customer's statement but then immediately pivots to a generic support offer, missing the opportunity for conversational engagement shown in historical examples."
GOLD_111,live_information,Current store stock and price require live information that historical retrieval cannot reliably provide.,product_availability,product_availability,@Tesco hello can you see if Tesco havant has any PlayStation vr in stock and current price cheers,I'm unable to check the current stock levels or prices for PlayStation VR at Tesco Havant. A colleague will be able to look into this for you.,True,True,False,5,4,5,5,5,5,False,True,"The response correctly identifies its inability to check live stock/price and appropriately escalates to a human, which is supported by historical examples."
GOLD_031,account_specific_escalation,Delivery Saver eligibility and booking terms are account/current-policy dependent and appropriately require human intervention.,delivery_slots,delivery_slots,@Tesco if it had been clear taking the delivery free trial excluded me from the Christmas priority booking I wouldn't have taken you up on it.,"I understand your frustration regarding the Christmas priority booking slots. The historical information available to me doesn't specify how a delivery free trial might affect eligibility for these slots. To look into this further for you, I'll need to escalate this to a human colleague who can access more detailed information about your account and the terms of your trial.",True,True,False,5,5,5,5,5,5,False,True,"The response directly addresses the customer's frustration, transparently states its information limitations, and appropriately escalates for account-specific details."
GOLD_103,retrieval_failure,"The retrieval system surfaces a poor historical precedent for a product-quality complaint, illustrating the limits of lexical similarity.",product_quality_safety,pricing_offers,"hi, @Tesco - your smoked bacon lardons are more water than lardon

please stop",I'm sorry to hear you're disappointed with the quality of our smoked bacon lardons. I understand your frustration. A human colleague will be best able to look into this for you and help address your concerns.,True,,,5,5,5,5,5,5,False,True,"The response correctly identifies the product quality issue and appropriately escalates to a human, which is the correct action for this type of complaint."
GOLD_212,incomplete_grounding,The response is cautious and safe but does not fully exploit the actionable guidance available in historical support conversations.,other,product_information,@Tesco is this a scam?? https://t.co/CQq0cK0Zui,"Thanks for reaching out about this link. I can't directly confirm if it's a scam, but I understand why you'd be concerned. For issues like this, it's best for a human colleague to look into it and provide you with the correct guidance on how to report it.",True,,,5,3,3,5,5,3,False,True,"The response correctly identifies its limitation and escalates, but misses the opportunity to provide the reporting email address seen in historical examples."
GOLD_219,wrong_intent_good_reply,"The predicted intent is wrong, yet the generated response still addresses the underlying customer problem reasonably well.",online_order_issue,product_quality_safety,"@Tesco oi oi Tesco, there’s a cheap brand intruder in my shopping! That’s not what I paid for... https://t.co/wnIHWLWdqS",I'm sorry to hear you received an incorrect item in your shopping. A colleague will be able to look into this for you and help resolve the issue.,True,,,5,3,5,5,5,3,False,True,"Correctly identifies the issue and escalates, but could be more helpful by asking for necessary order details upfront to expedite resolution."
GOLD_122,product_safety,A mould-related food-safety complaint requires human investigation and an appropriate resolution.,product_quality_safety,product_quality_safety,@Tesco these veg samosas were delivered Sunday afternoon with bbd 20/11/17. Inedible as they are covered in white mould! https://t.co/sEyDlS5GMi,"I'm very sorry to hear that the veg samosas you received were covered in white mould. That's certainly not the quality we expect. A human colleague will be able to look into this for you and arrange a suitable resolution. Could you please send us a direct message with your name, email address, and order number so they can assist further?",True,True,True,5,5,5,5,5,5,False,True,"The response is empathetic, correctly identifies the need for human intervention for a product quality issue, and provides clear next steps for the customer."
